file,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y
esea_match_13818366.dem,1,21257,165.8779,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,695.9623,1459.579,-299.9824,2220.148
esea_match_13818366.dem,1,21653,168.9752,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,FALSE,,Head,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-236.3433,923.7209,271.5201,2097.479
esea_match_13818366.dem,1,21717,169.4758,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,FALSE,,Head,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-422.4744,2051.092,909.0534,1543.72
esea_match_13818366.dem,1,21937,171.1965,Team 1,Team 2,CounterTerrorist,Terrorist,14,6,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-263.6333,2248.544,704.7518,1579.347
esea_match_13818366.dem,1,22229,173.4804,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,FALSE,,Head,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-558.0109,-874.1711,254.492,-691.1022
esea_match_13818366.dem,1,22565,176.1084,Team 1,Team 2,CounterTerrorist,Terrorist,14,7,FALSE,,RightArm,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-257.3235,2237.782,565.4832,1591.995
esea_match_13818366.dem,1,22653,176.7967,Team 2,Team 1,Terrorist,CounterTerrorist,8,4,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,721.1249,1737.944,-683.3134,1264.154
esea_match_13818366.dem,1,22711,177.2503,Team 2,Team 1,Terrorist,CounterTerrorist,8,4,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,694.5822,1815.21,-685.8182,1271.308
esea_match_13818366.dem,1,22807,178.0012,Team 1,Team 2,CounterTerrorist,Terrorist,13,6,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,-681.6322,1259.17,672.0367,1854.899
esea_match_13818366.dem,1,24575,191.8296,Team 1,Team 2,CounterTerrorist,Terrorist,2,1,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,212.5068,1298.016,554.11,1945.207
esea_match_13818366.dem,1,24861,194.0665,Team 2,Team 1,Terrorist,CounterTerrorist,24,0,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,560.347,1935.838,338.3871,1353.732
esea_match_13818366.dem,1,24985,195.0364,Team 1,Team 2,CounterTerrorist,Terrorist,15,7,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,327.8214,1377.786,561.9266,1937.993
esea_match_13818366.dem,1,25019,195.3023,Team 1,Team 2,CounterTerrorist,Terrorist,70,0,FALSE,,Head,USP,Pistol,7.65612E+16,0,7.65612E+16,0,310.7552,1377.032,559.7442,1938.775
esea_match_13818366.dem,1,25347,197.8677,Team 1,Team 2,CounterTerrorist,Terrorist,17,8,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,235.2591,2140.344,426.8561,2087.555
esea_match_13818366.dem,1,25355,197.9303,Team 2,Team 1,Terrorist,CounterTerrorist,13,7,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,426.2978,2093.562,234.7218,2138.947
esea_match_13818366.dem,1,25375,198.0867,Team 2,Team 1,Terrorist,CounterTerrorist,13,7,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,428.9287,2111.515,238.0826,2148.785
esea_match_13818366.dem,1,25381,198.1337,Team 1,Team 2,CounterTerrorist,Terrorist,17,8,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,239.191,2152.16,429.8139,2116.147
esea_match_13818366.dem,1,25415,198.3996,Team 2,Team 1,Terrorist,CounterTerrorist,13,7,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,431.175,2135.688,244.6946,2170.48
esea_match_13818366.dem,1,25435,198.556,Team 2,Team 1,Terrorist,CounterTerrorist,13,7,FALSE,,Chest,Glock,Pistol,7.65612E+16,0,7.65612E+16,0,432.286,2150.581,242.5676,2163.003
esea_match_13818366.dem,1,25439,198.5873,Team 1,Team 2,CounterTerrorist,Terrorist,17,8,FALSE,,Chest,USP,Pistol,7.65612E+16,0,7.65612E+16,0,242.121,2161.116,432.6137,2153.833
esea_match_13818366.dem,1,25461,198.7594,Team 1,Team 2,CounterTerrorist,Terrorist,21,0,FALSE,,Head,USP,Pistol,7.65612E+16,0,7.65612E+16,0,240.4726,2148.921,433.7587,2165.765
esea_match_13818366.dem,2,29243,228.3089,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,FALSE,,Head,M4A4,Rifle,7.65612E+16,0,7.65612E+16,0,-291.9434,421.2559,1060.269,176.7249
